date,itemname,packunits,expiry,price,looseqty
24/05/2023,PANADOL TAB,200,2/1/25,2.67,247
25/05/2023,PANADOL TAB,200,2/1/25,2.67,330
26/05/2023,PANADOL TAB,200,2/1/25,2.67,316
27/05/2023,PANADOL TAB,200,2/1/25,2.67,336
28/05/2023,PANADOL TAB,200,2/1/25,2.67,316
29/05/2023,PANADOL TAB,200,2/1/25,2.67,344
30/05/2023,PANADOL TAB,200,2/1/25,2.67,419
01/06/2023,PANADOL TAB,200,2/1/25,2.67,292
02/06/2023,PANADOL TAB,200,2/1/25,2.67,317
03/06/2023,PANADOL TAB,200,2/1/25,2.67,347
04/06/2023,PANADOL TAB,200,2/1/25,2.67,571
05/06/2023,PANADOL TAB,200,2/1/25,2.67,250
06/06/2023,PANADOL TAB,200,2/1/25,2.67,353
07/06/2023,PANADOL TAB,200,2/6/25,2.67,304
08/06/2023,PANADOL TAB,200,2/6/25,2.67,377
09/06/2023,PANADOL TAB,200,2/6/25,2.67,295
10/06/2023,PANADOL TAB,200,2/6/25,2.67,367
11/06/2023,PANADOL TAB,200,2/6/25,2.67,671
12/06/2023,PANADOL TAB,200,2/6/25,2.67,283
13/06/2023,PANADOL TAB,200,2/6/25,2.67,487
14/06/2023,PANADOL TAB,200,2/6/25,2.67,259
15/06/2023,PANADOL TAB,200,2/6/25,2.67,253
16/06/2023,PANADOL TAB,200,2/6/25,2.67,142
17/06/2023,PANADOL TAB,200,2/6/25,2.67,385
18/06/2023,PANADOL TAB,200,2/6/25,2.67,364
19/06/2023,PANADOL TAB,200,2/6/25,2.67,224
20/06/2023,PANADOL TAB,200,2/6/25,2.67,351
21/06/2023,PANADOL TAB,200,2/6/25,2.67,377
22/06/2023,PANADOL TAB,200,2/6/25,2.67,356
23/06/2023,PANADOL TAB,200,2/6/25,2.67,234
24/06/2023,PANADOL TAB,200,2/6/25,2.67,249
25/06/2023,PANADOL TAB,200,2/6/25,2.67,372
26/06/2023,PANADOL TAB,200,2/6/25,2.67,556
27/06/2023,PANADOL TAB,200,2/6/25,2.67,387
28/06/2023,PANADOL TAB,200,2/6/25,2.67,395
29/06/2023,PANADOL TAB,200,2/6/25,3.2,347
30/06/2023,PANADOL TAB,200,2/6/25,3.2,293
